ewtb.r.020992.7:2	for	Theme	After checking |for| signs of fire or smoke and seeing none , I decided to just pack up and leave .
ewtb.r.020992.7:4	of	Attribute	After checking for signs |of| fire or smoke and seeing none , I decided to just pack up and leave .
ewtb.r.020992.8:5	with	Co-Agent	The desk agent actually argued |with| me , claiming that no such alarm had gone off ( as if I would make that up ? ) .
ewtb.r.020992.9:23	to	Experiencer	He finally admitted that only the 4 ADA room alarms had sounded , so only 4 guests were effected ( no big deal |to| him ) .
ewtb.r.021370.1:3	for	Purpose	It 's fine |for| ...
ewtb.r.021370.2:10	with	Circumstance	It 's fine for mass - market chocolate , but |with| companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ?
ewtb.r.021370.2:12	like	Elements	It 's fine for mass - market chocolate , but with companies |like| Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ?
ewtb.r.021370.2:23	in	Location	It 's fine for mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers |in| the area , why ?
ewtb.r.021370.2:3	for	Purpose	It 's fine |for| mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ?
ewtb.r.022273.2:7	to	Beneficiary	But the servers do n't pay attention |to| you whether it 's busy or not .
ewtb.r.022461.1:2	in	Location	The best |in| the area !
ewtb.r.022461.2:16	by far	Extent	I 've been to quite a few tattoo shops around this area and Stainless Steel is |by| |far| the best .
ewtb.r.022461.2:9	around	2DArea	I 've been to quite a few tattoo shops |around| this area and Stainless Steel is by far the best .
ewtb.r.022461.3:10	from	ProfessionalAspect	I am very pleased with the tattoos that I revived |from| them .
ewtb.r.022461.3:4	with	Stimulus	I am very pleased |with| the tattoos that I revived from them .
ewtb.r.022461.5:5	to	Recipient	I would recommend this shop |to| anyone looking to get a tattoo .
ewtb.r.022533.2:11	with	Co-Agent	even though I have never tried hoa salon but I agree |with| other reviewers that they are rude .
ewtb.r.022533.3:4	about	Topic	I called and asked |about| the price for hair updo and the receptionist or owner who aswered the phone refused to tell me , or even just give me an approximate price range .
ewtb.r.022533.3:7	for	Theme	I called and asked about the price |for| hair updo and the receptionist or owner who aswered the phone refused to tell me , or even just give me an approximate price range .
ewtb.r.022533.5:2	of	Species	What kind |of| rude service is that ?
ewtb.r.022533.6:8	with	Theme	I do n't want to waste my time |with| them .
ewtb.r.022900.1:3	from	Source	Very hard work |from| the boys in blue there !
ewtb.r.022900.3:3	from	Source	Very hard work |from| the boys in blue there !
ewtb.r.023620.1:18	to	Destination	This is one of the worst places I have stayed , we cut out stay short and went |to| the Mulberry .
ewtb.r.023620.1:3	of	Superset	This is one |of| the worst places I have stayed , we cut out stay short and went to the Mulberry .
ewtb.r.023620.2:22	out of	InitialLocation	Even though they still charge you the days you booked but wo n't use , it is worth the get the hell |out| |of| this crap hole .
ewtb.r.023620.3:7	by	Agent	The whole experience shows a hotel managed |by| what must be a 2 star hotel manager .
ewtb.r.023620.4:3	from	Source	Bad service starting |from| the front desk .
ewtb.r.023620.6:8	as	Attribute	Short of that , avoid this place , |as| a silver Marriott member , this is a disgrace .
ewtb.r.024132.2:1	at	ProfessionalAspect	Mark |at| Tintman Nationwide tints Ltd , did a very Professional job very quick , no fuss , deliverd the car to me and I drove him back home , Great arrangement Great price !!
ewtb.r.024132.2:21	to	Beneficiary	Mark at Tintman Nationwide tints Ltd , did a very Professional job very quick , no fuss , deliverd the car |to| me and I drove him back home , Great arrangement Great price !!
ewtb.r.024132.2:27	back	Direction	Mark at Tintman Nationwide tints Ltd , did a very Professional job very quick , no fuss , deliverd the car to me and I drove him |back| home , Great arrangement Great price !!
ewtb.r.024132.5:8	with	Attribute	Steve .... proud Range Rover Sport owner ( |with| rear tints )
ewtb.r.024306.3:11	to	Function	I do n't recommend this place to anyone or even anything |to| eat .
ewtb.r.024306.3:6	to	Recipient	I do n't recommend this place |to| anyone or even anything to eat .
ewtb.r.024385.5:9	since	Explanation	I 'm assuming they are completely out of business |since| I ca n't find any contact information .
ewtb.r.024385.6:10	out of	Location	I 'm hoping the bakers continue to do their baking |out| |of| another place , because it would be a shame not to have these cakes any longer .
ewtb.r.025516.2:4	instead of	Comparison/Contrast	Sent scented flowers home |instead| |of| postcards .
ewtb.r.025516.3:4	for	Purpose	Recommend you call in |for| a look .
ewtb.r.025894.2:13	than	Scalar/Rank	I have eaten here several times and every time the service is slower |than| slow .
ewtb.r.025894.3:10	for	Duration	One time we even left after sitting at the table |for| 20 minutes and not being greeted with a drink order .
ewtb.r.025894.3:17	with	Means	One time we even left after sitting at the table for 20 minutes and not being greeted |with| a drink order .
ewtb.r.025894.3:5	after	RelativeTime	One time we even left |after| sitting at the table for 20 minutes and not being greeted with a drink order .
ewtb.r.025894.3:7	at	Location	One time we even left after sitting |at| the table for 20 minutes and not being greeted with a drink order .
ewtb.r.025894.5:7	in	Location	There must be a better mexican place |in| Rockland .
ewtb.r.026641.2:15	to	EndState	I am hiring them to come once a week now that they got my house |to| where they can maintain it for only an hour and a half every two weeks !
ewtb.r.026641.2:21	for	Duration	I am hiring them to come once a week now that they got my house to where they can maintain it |for| only an hour and a half every two weeks !
ewtb.r.026641.2:4	to	Purpose	I am hiring them |to| come once a week now that they got my house to where they can maintain it for only an hour and a half every two weeks !
ewtb.r.026641.3:3	with	Stimulus	Satisfactory for sure |with| the sercvice !
ewtb.r.026641.4:20	like	Comparison/Contrast	Beats having one " cleaning lady " who took twice as long and did not do a very through job |like| the " maids " did !
ewtb.r.026883.10:0	Upon	Time	|Upon| delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.10:13	of	Quantity	Upon delivery it was clear the entire set was damaged : a piece |of| wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.10:17	on	Location	Upon delivery it was clear the entire set was damaged : a piece of wood was broke |on| the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.10:31	to	Purpose	Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary |to| attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.10:42	in	Direction	Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed |in| causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.10:48	into	Direction	Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean |into| the wall ; and a nighstand was missing a drawer .
ewtb.r.026883.12:0	After	RelativeTime	|After| complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:2	on	Time	After complaining |on| September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:31	up	Location	After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be |up| to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:40	at	Time	After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers |at| some future point and at some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:45	at	Time	After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and |at| some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:5	to	Recipient	After complaining on September 10th |to| National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and at some later point it would be returned .
ewtb.r.026883.12:55	at	Time	After complaining on September 10th to National Home Furnishings , Boyles , the Hickory Furniture Mart and Home Delivery Service the latter finally called me back and said they would be up to pick the dresser and chest of drawers at some future point and at some later point it would be professional repaired and |at| some later point it would be returned .
ewtb.r.026883.13:3	at	Location	The customer service |at| Home Delivery Service was terrible let alone their promise to proper set up furniture .
ewtb.r.026883.14:3	in limbo	State	So I am |in| |limbo| regarding a bedroom suite .
ewtb.r.026883.15:13	in	Location	I hope the owners and employees of this store have broken bedroom suites |in| their homes and furniture sitting in someone 's warehouse .
ewtb.r.026883.15:19	in	Location	I hope the owners and employees of this store have broken bedroom suites in their homes and furniture sitting |in| someone 's warehouse .
