,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.188548.9:11,@ablodgett,as,,Comparison/Contrast,,"The cashier was also short , unapologetic and made me feel |as| I was wasting her time ."
ewtb.r.194316.2:9,@ablodgett,as,,Explanation,,"OMG .. make sure to book a reservation , |as| this magical place is packed ( in a nice way ) I love that the owner walks around and cares how his customers feel about their food ."
ewtb.r.201156.3:32,@ablodgett,as,,Explanation,,Marek Dzida the owner and photographer puts whole heart in his business - If you are into old fashion ( Not Digital ) quality photography this is best place in Long Beach |as| I think not many folks can do affordable traditional photos anymore I know Marek personaly and I will always recommend him
ewtb.r.210875.2:9,@ablodgett,as,,Circumstance,,Just wanted you to know that Eric came by |as| scheduled today and sprayed our house for scorpions .
ewtb.r.211797.5:2,@ablodgett,as,,Time,,"So , |as| I was leaving I asked for the designer / dress name or style number associated with my top picks ."
ewtb.r.235211.5:16,@ablodgett,as,,Explanation,,We have had many conversations with them and they have always been extremely patient with me |as| I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.262441.1:21,@ablodgett,as,,Explanation,,"I phoned this company for advice on our office refurb and although we did not use them in the end ( |as| our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor ."
ewtb.r.262441.1:52,@ablodgett,as,,Attribute,,"I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC |as| our electrical maintenance contractor ."
ewtb.r.280663.8:12,@ablodgett,as,,Explanation,,"They may look young but do n't let that fool you , |as| their knowledge of music far surpassed what we expected ."
ewtb.r.295288.4:32,@ablodgett,as,,Explanation,,"The mechanic came to our place and sorted out our car s problems , he explained the problem and was very up front and honest , it was towed to the workshop |as| the gearbox was not working ( he explained it better ) ."
ewtb.r.311987.2:7,@ablodgett,as,,Attribute,,My husband just got a bike there |as| a gift he 's only had it a month .
ewtb.r.330966.4:8,@ablodgett,as,,Explanation,,"I have never considered this a real problem |as| I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.376320.11:16,@ablodgett,as,,Explanation,,Please pass my appreciation to the Staff and Management for their excellent hospitality and good spirits |as| it helped make a stressful trip enjoyable .
ewtb.r.382073.2:5,@ablodgett,as,,Explanation,,I came upon this store |as| the building caught my eye .
ewtb.r.127157.4:12,@ablodgett,as long as,,Circumstance,,"One guy is a little surley , but who gives a crap |as| |long| |as| your car 's work is outstanding ."
ewtb.r.048363.8:22,@ablodgett,as soon as,,Time,,"Five minutes before my initial lesson , I got a call from Gerry advising me of his arrival and to come down |as| |soon| |as| I was ready ."
ewtb.r.108338.5:2,@ablodgett,as soon as,,Time,,Moving out |as| |soon| |as| our lease is up .
ewtb.r.200429.3:16,@ablodgett,as soon as,,Time,,"I explained that i was already on my way and i would rush to get there |as| |soon| |as| i could because i needed my car for work at 5 am , but the guy was arguing with me saying he was gon na lock the doors right at 5:30 ."
ewtb.r.216456.4:9,@ablodgett,as soon as,,Time,,My friend called the hotel to cancel our room |as| |soon| |as| I called her .
ewtb.r.211797.13:0,@ablodgett,Aside from,,Elements,,"|Aside| |from| that little * mystery * , one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of her dresses that I was trying on ."
ewtb.r.007403.6:10,@ablodgett,at,,Locus,,Please visit my website to learn more about my practice |at| www.veraakulov.com .
ewtb.r.011806.1:7,@ablodgett,at,,Location,,absolutely fantastic experience getting my iphone upgraded |at| Zion ...
ewtb.r.020851.3:18,@ablodgett,at,,Location,,"Their selection is random , so what they have on a given week might never be available again |at| the store ."
ewtb.r.020992.3:0,@ablodgett,At,,Time,,"|At| 3:15 am on night # 2 , the fire alarm and strobe light activated in my room ."
ewtb.r.026883.13:3,@ablodgett,at,,Location,,The customer service |at| Home Delivery Service was terrible let alone their promise to proper set up furniture .
ewtb.r.026883.6:8,@ablodgett,at,,Location,,After seventeen days the delivery van showed up |at| my home minus two pieces .
ewtb.r.030430.2:4,@ablodgett,at,,?SocialRel,,I think the women |at| this salon know that their business is based primarily from referrals . :)
ewtb.r.030875.1:2,@ablodgett,at,,Location,,Slice Pizza |at| former Britt 's Location
ewtb.r.034501.4:10,@ablodgett,at,,Location,,I popped in after my afternoon pumpkin spice latte break |at| Starbucks .
ewtb.r.035899.2:8,@ablodgett,at,,Time,,We walked in to pick our little man |at| 10 minutes to closing and heard laughter from kids and the staff .
ewtb.r.042416.3:23,@ablodgett,at,,Location,,We were in Santa Fe for a special event and our hosts rented out the El Paradero for all their guests to stay |at| .
ewtb.r.047762.1:3,@ablodgett,at,,Location,,My Favorite place |at| Wildwood
ewtb.r.055207.3:49,@ablodgett,at,,Location,,"But I had my cat spayed through their reduced / free spay and neuter program and the vet they sent us to was first of all a hour and a half away , and 4 days later we had to bring them to our normal vet because the vets |at| the place in wisconsin did a crappy job and they got infections ."
ewtb.r.059005.3:17,@ablodgett,at,,Location,,I go in about every morning to get bagels for myself or my co-workers and the employees |at| Max 's are great !!
ewtb.r.059416.2:10,@ablodgett,at,,Location,,I recently threw a surprise birthday party for my wife |at| Fraiser 's .
ewtb.r.063963.2:8,@ablodgett,at,,Time,,"I took my 3 year old son here |at| the weekend and to be honest , apart from the shark walkway , I thought it was rubbish and overpriced ."
ewtb.r.068436.2:20,@ablodgett,at,,Location,,"I generally like the BK over the other fast serving restaurants ; however , I regreted to visit this restaurant |at| my town ."
ewtb.r.077298.2:21,@ablodgett,at,,Value,,I 'm not interested in shopping in a place with people like her ... she refused to sell me the item |at| its marked price even after admitting they had made a mistake .
ewtb.r.079375.2:13,@ablodgett,at,,Stimulus,,I recently took a rescue puppy to this Clinic and I was SHOCKED |at| how well Romeo and My family was treated .
ewtb.r.085980.6:7,@ablodgett,at,,Location,,This was a less than impressive experience |at| Trio 's .
ewtb.r.086839.13:0,@ablodgett,At,,Time,,"|At| no time during the conversation did the words , "" I 'm sorry "" ever come out of his mouth ."
ewtb.r.090136.6:3,@ablodgett,at,,Location,,I 've dined |at| lots of high - end restaurants and I 've never before felt my money was so well spent .
ewtb.r.094621.5:4,@ablodgett,at,,Value,,Their quote came in |at| half the price of A&E for the same work and same part .
ewtb.r.095040.2:14,@ablodgett,at,,OrgRole,,"As first - time home buyers , my husband and I found Stephanie Fairchild |at| Prudential Steamboat Realty , extremely helpful ."
ewtb.r.103519.2:32,@ablodgett,at,,?Location,,"okay , I do nt have a review , but why in the hell would you name your business something that has the initials KKK .... is there something behind the scenes |at| this place ?"
ewtb.r.107608.2:13,@ablodgett,at,,?SocialRel,,I v just had my bmw z3 rear window replaced by the guys |at| kelvin trimmers .
ewtb.r.110441.6:15,@ablodgett,at,,Location,,"Well I was in for a treat when I was greeted by the friendly girls |at| the counter who asked if my wife and I would like to sit in their "" new "" dining room ."
ewtb.r.131458.3:23,@ablodgett,at,,Value,,Tina is the driving force of the business and you can be assured that she will endevour to satisfy all your signage requirements |at| the most cost effective rates .
ewtb.r.131965.2:1,@ablodgett,at,,OrgRole,,"We |at| R&L Plumbing Services are pleased with your professionalism and the extra mile you went to get out computers working correctly , you will be our first call if anything happens again and we will refer you to other people with computer issues ."
ewtb.r.148971.17:33,@ablodgett,at,,Location,,"If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures |at| other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one for you ."
ewtb.r.156953.9:13,@ablodgett,at,,Time,,But she did a fabulous job letting me know what she was doing |at| all times and styled my hair in a way i could do it at home .
ewtb.r.156953.9:27,@ablodgett,at,,Location,,But she did a fabulous job letting me know what she was doing at all times and styled my hair in a way i could do it |at| home .
ewtb.r.160073.14:4,@ablodgett,at,,Activity,,They are also quick |at| getting your order out to you .
ewtb.r.160073.19:41,@ablodgett,at,,Location,,"PS I have noticed on here that someone left a comment that "" all of the nice comments must come from co workers or friends "" and I will tell you that I do n't know these people except from eating |at| their restaurant ."
ewtb.r.170650.6:0,@ablodgett,At,,Location,,"|At| the front door of his office , I nearly turned around ."
ewtb.r.187266.10:16,@ablodgett,at,,Value,,The affordable rent makes it possible for an inspired chef to serve his high quality fare |at| affordable prices !
ewtb.r.188548.6:13,@ablodgett,at,,Location,,"The person went to go check with the manager , who was sitting |at| a table chatting with her friends who were eating there ."
ewtb.r.200429.2:3,@ablodgett,at,,Goal,,"I got yelled |at| , literally yelled at because i asked if i could pick up my car 5 - 10 minutes late ."
ewtb.r.200429.2:7,@ablodgett,at,,Goal,,"I got yelled at , literally yelled |at| because i asked if i could pick up my car 5 - 10 minutes late ."
ewtb.r.200429.3:28,@ablodgett,at,,Time,,"I explained that i was already on my way and i would rush to get there as soon as i could because i needed my car for work |at| 5 am , but the guy was arguing with me saying he was gon na lock the doors right at 5:30 ."
ewtb.r.200429.3:48,@ablodgett,at,,Time,,"I explained that i was already on my way and i would rush to get there as soon as i could because i needed my car for work at 5 am , but the guy was arguing with me saying he was gon na lock the doors right |at| 5:30 ."
