,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.076352.3:9,to,,,Beneficiary,accommodating to,Beneficiary,Goal,,,We arrived early and the staff was very accomodating |to| our families and the situation we were in .
ewtb.r.183518.1:2,to,,,Beneficiary,asset to,Beneficiary,Goal,,,An Asset |to| Richmond
ewtb.r.251774.7:11,to,,,Beneficiary,available/open to,Beneficiary,Goal,,,I feel lighter and feel that I have more possibilities open |to| me now than I did before .
ewtb.r.263870.7:26,to,,,Beneficiary,available/open to,Beneficiary,Goal,,,"VCU also offers high - rise living for students and professors , and the historic yet fixed - up houses in the Fan are also available |to| students , professors , or even people wanting to live in a safe , viable community ."
ewtb.r.137883.2:7,to,,,Beneficiary,cater to,Beneficiary,Goal,,,Food is awful and the place caters |to| the yuppy crowd .
ewtb.r.365154.7:8,to,,,Beneficiary,condescending to,Beneficiary,Goal,,,"The next time you feel like being condescending |to| someone , it is not going to be me !!!!!!"
ewtb.r.124163.5:37,to,,,Beneficiary,duty to,Beneficiary,Goal,,,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest in the well - being of his patients - his dental work underpinned by a strong duty of care |to| every patient ."
ewtb.r.164805.8:21,to,,,Beneficiary,fair to,Beneficiary,Goal,,,Fair give and take on both sides until we agreed on a deal that was within my parameters and was fair |to| both sides .
ewtb.r.235190.2:13,to,,,Beneficiary,helpful to,Beneficiary,Goal,,,"Believe it or not , but the channel guide has been most helpful |to| my family members that visit and do n't know where to start when it comes to watching satellite tv ."
ewtb.r.181771.3:29,to,,,Beneficiary,nice to,Beneficiary,Goal,,,I have never seen this car before until this lady at wal mart had it and she told me she got it here and that everyone was so nice |to| her .
ewtb.r.220214.8:6,to,,,Beneficiary,nice to,Beneficiary,Goal,,,But then again I was nice |to| them so that could have been why .
ewtb.r.047007.1:30,to,,,Beneficiary,rude to,Beneficiary,Goal,,,Called to check if they had a product I 've been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder |to| me .
ewtb.r.245928.3:4,to,,,Beneficiary,rude to,Beneficiary,Goal,,,They are especially rude |to| women .
ewtb.r.035726.3:18,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,"Dr. Aster is very kind an gentle with the children , but also positive and to the point |with| the parents ."
ewtb.r.035726.3:7,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,"Dr. Aster is very kind an gentle |with| the children , but also positive and to the point with the parents ."
ewtb.r.039856.5:10,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,How these guys can get away with being so rude |with| people is mind blowing .
ewtb.r.087368.2:17,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,My pharmacy order is always correct and promptly delivered but the pharmacy staff are always very short |with| me and do n't seem to like answering questions .
ewtb.r.118718.5:11,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,Dr. Wallen explained the procedure in detail and took his time |with| me .
ewtb.r.164805.3:7,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,Michael Chestney was very pleasant and patient |with| my wife and she suggested I go check it out .
ewtb.r.235211.5:14,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,We have had many conversations with them and they have always been extremely patient |with| me as I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.372903.6:8,with,,,Beneficiary,interpersonal-behavior-evaluation,Beneficiary,Theme,,,The animals were all very sweet and patient |with| her .
ewtb.r.105518.3:10,for,,,Beneficiary,Adj for,Beneficiary,,ewtb.r.105518.3:10,Beneficiary,The staff was very helpful in finding the right dog |for| me and the care my pup received was outstanding .
ewtb.r.299148.4:16,for,,,Beneficiary,Adj for,Beneficiary,,ewtb.r.299148.4:16,Beneficiary,The family suite was basically two rooms with a small opening between them which worked great |for| us because we were two families traveling together .
ewtb.r.071650.11:1,for,,,Theme,Adj for,Beneficiary,,,,Bad |for| business .
ewtb.r.255261.10:1,for,,,Beneficiary,Adj for Exp,Beneficiary,,ewtb.r.255261.10:1,Beneficiary,Great |for| the kiddies - they love the labyrinth ( do n't forget to tell 'em it s really a ' pagen ' thing ! ) .
ewtb.r.323449.10:5,for,,,Beneficiary,Adj for Exp,Beneficiary,,ewtb.r.323449.10:5,Beneficiary,"Again , a great outing |for| the kids , a frustration for an out of town climber ."
ewtb.r.085424.2:7,for,,,Experiencer,Adj for Exp,Beneficiary,,ewtb.r.085424.2:7,Beneficiary,The program has been a postive experience |for| my children .
ewtb.r.200429.5:17,for,,,Beneficiary,care/concern for,Beneficiary,,ewtb.r.200429.5:17,Beneficiary,"Seems like all they care about is the money and getting home on time , NO care |for| the customers AT ALL !!!"
ewtb.r.397066.2:15,for,,,Beneficiary,care/concern for,Beneficiary,,ewtb.r.397066.2:15,Beneficiary,I have used Just Like Family several times now and they have provided great care |for| my two dogs .
ewtb.r.372903.1:1,for,,,Beneficiary,evaluation-for-targetaudience,Beneficiary,,ewtb.r.372903.1:1,Beneficiary,Fantastic |for| kids
ewtb.r.358063.2:2,for,,,Function,evaluation-for-targetaudience,Beneficiary,,ewtb.r.358063.2:2,Beneficiary,Great place |for| people in chronic pain .
ewtb.r.059416.5:11,for,,,Beneficiary,event for,Beneficiary,,ewtb.r.059416.5:11,Beneficiary,"I highly recommend Fraiser 's for anyone planning a special event |for| friends , family or business ."
ewtb.r.117115.11:12,for,,,Beneficiary,helping-action-for,Beneficiary,,ewtb.r.117115.11:12,Beneficiary,Their worker even cleaned 3 of my windows and changed a lightbulb |for| me .
ewtb.r.128636.5:9,for,,,Beneficiary,helping-action-for,Beneficiary,,ewtb.r.128636.5:9,Beneficiary,Both the engagement and wedding pictures that he took |for| us we absolutely amazing .
ewtb.r.148971.15:28,for,,,Beneficiary,helping-action-for,Beneficiary,,ewtb.r.148971.15:28,Beneficiary,"Even my PA i went to the other day said "" it must by comforting to have gone to a heart surgeon like him who will do nothing |for| you "" ."
ewtb.r.185045.3:5,for,,,Beneficiary,helping-action-for,Beneficiary,,ewtb.r.185045.3:5,Beneficiary,"Joe removed a wasp nest |for| our condominium building and we appreciated the environmentally friendly method and prompt , friendly and informative service ."
ewtb.r.342811.6:9,for,,,Function,instrument-for-use-by,Beneficiary,,ewtb.r.342811.6:9,Beneficiary,"There were 3 adults in our room but towels |for| only 2 , no linens for sofa bed ."
ewtb.r.319816.27:6,for,,,Beneficiary,keep-intended-transfer,Beneficiary,,ewtb.r.319816.27:6,Beneficiary,"Supposedly they will be holding it |for| me this evening , but I 'm sure that will also be a huge ordeal ."
ewtb.r.121342.3:7,for,,,Beneficiary,options-for-customers,Beneficiary,,ewtb.r.121342.3:7,Beneficiary,The menu had plenty of options even |for| picky eaters .
ewtb.r.263870.4:29,for,,,Beneficiary,options-for-customers,Beneficiary,,ewtb.r.263870.4:29,Beneficiary,"With a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle on campus ALONE , VCU has some of the best eating options |for| students ."
ewtb.r.290594.4:19,for,,,Beneficiary,options-for-customers,Beneficiary,,ewtb.r.290594.4:19,Beneficiary,"I 've toured this place and was impressed by how clean the place was , and all the options |for| the dogs ."
ewtb.r.085424.1:4,for,,,Beneficiary,RATING for,Beneficiary,,ewtb.r.085424.1:4,Beneficiary,Cathy ****** Five Stars |for| Lake Forest Tots .
ewtb.r.059416.5:5,for,,,Beneficiary,recommend for,Beneficiary,,ewtb.r.059416.5:5,Beneficiary,"I highly recommend Fraiser 's |for| anyone planning a special event for friends , family or business ."
ewtb.r.306740.3:4,for,,,Beneficiary,service for,Beneficiary,,ewtb.r.306740.3:4,Beneficiary,A wonderful tutoring service |for| students needing help with elementary - middle school work .
ewtb.r.363873.7:14,for,,,Beneficiary,stick up for = defend,Beneficiary,,ewtb.r.363873.7:14,Beneficiary,"Linda is the rudest person you will ever talk to and she sticks up |for| all of the trashy , rude people that live there , not the nice ones that actually give a crap about respecting others ."
ewtb.r.090136.2:19,for,,,Beneficiary,the _ for you,Beneficiary,,ewtb.r.090136.2:19,Beneficiary,"IF you want flashy fancy food stacked high with lots of fussy garnishes , this is not the place |for| you ."
ewtb.r.207629.6:22,for,,,Beneficiary,the _ for you,Beneficiary,,ewtb.r.207629.6:22,Beneficiary,I personally have had wonderful service and if you re truely looking for a FAMILY practice ... Warner Family is the place |for| you .
ewtb.r.217359.3:17,for,,,Beneficiary,the _ for you,Beneficiary,,ewtb.r.217359.3:17,Beneficiary,"if you do n't mind being robbed , cheated or lied to then this is the company |for| you ."
ewtb.r.398152.5:20,for,,,Beneficiary,the _ for you,Beneficiary,,ewtb.r.398152.5:20,Beneficiary,"If you 're a fan of herpes , being ripped off , and child molesters , this is the garage |for| you ."
ewtb.r.148971.17:61,for,,,Beneficiary,the one for you,Beneficiary,,ewtb.r.148971.17:61,Beneficiary,"If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one |for| you ."
ewtb.r.148971.17:49,for,,,Beneficiary,work (succeed) for,Beneficiary,,ewtb.r.148971.17:49,Beneficiary,"If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and says they are what you need , when they will not work |for| you , go to this doctor ... he is the one for you ."
ewtb.r.010393.2:13,for,,,Beneficiary,,Beneficiary,,ewtb.r.010393.2:13,Beneficiary,The first time I used them they arrived on time and towed car |for| me to the destination I needed .
ewtb.r.010393.4:4,for,,,Beneficiary,,Beneficiary,,ewtb.r.010393.4:4,Beneficiary,They have towed car |for| me a few times and I am always very satisfied with this services .
ewtb.r.010393.5:23,for,,,Beneficiary,,Beneficiary,,ewtb.r.010393.5:23,Beneficiary,"If you are looking for towing services that can offer you a good towed car service , then Auto Towing is the company |for| you ."
ewtb.r.018562.2:10,for,,,Beneficiary,,Beneficiary,,ewtb.r.018562.2:10,Beneficiary,I want to say that Mike did a great job |for| our family in our time of need .
ewtb.r.059416.2:7,for,,,Beneficiary,,Beneficiary,,ewtb.r.059416.2:7,Beneficiary,I recently threw a surprise birthday party |for| my wife at Fraiser 's .
ewtb.r.063963.5:23,for,,,Beneficiary,,Beneficiary,,ewtb.r.063963.5:23,Beneficiary,If you are really desperate for something to pass the time and are willing to shell out the best part of L 30 |for| 2 two people then go for it .
ewtb.r.071278.2:16,for,,,Beneficiary,,Beneficiary,,ewtb.r.071278.2:16,Beneficiary,I ca n't say enough good things about Karla and the wonderful things she has done |for| me and my dog Gracee .
ewtb.r.232157.1:2,for,,,Beneficiary,,Beneficiary,,ewtb.r.232157.1:2,Beneficiary,Wonderful service |for| large group
ewtb.r.263870.7:7,for,,,Beneficiary,,Beneficiary,,ewtb.r.263870.7:7,Beneficiary,"VCU also offers high - rise living |for| students and professors , and the historic yet fixed - up houses in the Fan are also available to students , professors , or even people wanting to live in a safe , viable community ."
ewtb.r.268673.3:16,for,,,Beneficiary,,Beneficiary,,ewtb.r.268673.3:16,Beneficiary,To my surprise $ 20 deposit .... New movies not on shelf .. under the counter |for| Telugu Speaking people only ... or people who spend $ 30 or more groceries ..
